study_id,entry_id,study_authors,study_title,study_year,metric,estimate,sample_size,variance_estimate,range_max,variance_type,statistical_distribution,age_reported,sex,year,time-period_studied,sampling_dates,sampling_season,rainfall_annual_sum[mm],Latitude,Longitude,sitename,stratum,site_size[km^2],geographic_ID,sampling_coverage,sampling_coverage_unit,countryname_iso3166,country_iso3166-1_alpha-3,species,surveyer,survey_type,survey_method,combined_strip_width[m],fenced[fully/partly/no],poaching_indication,natural_mortality_indication,management_indication,study_focus,AED_incl,contains_map,remarks,
24,11,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,8.0000,,,,,,,,1935-1936,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,12,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,4.0000,,,,,,,,1931-1932,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,13,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,0.0000,,,,,,sexually_mature,male,1939-1947,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,14,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,0.0000,,,,,,,,1939-1947,1931-1998,,,,,,Addo Elephant National Park,,6.8,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,no,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,15,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,3.0000,,,,,,adult,male,1954,1931-1998,,,,,,Addo Elephant National Park,,26,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,16,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,8.0000,,,,,,adult,female,1954,1931-1998,,,,,,Addo Elephant National Park,,26,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,17,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,11.0000,,,,,,calf,,1954,1931-1998,,,,,,Addo Elephant National Park,,26,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,18,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,22.0000,,,,,,,,1954,1931-1998,,,,,,Addo Elephant National Park,,26,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",life-history-reconstruction,"photos, films",,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,19,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,59.0000,,,,,,1-12,male,1976,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,20,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,94.0000,,,,,,,,1976,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,21,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,96.0000,,,,,,,,1977,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,22,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,96.0000,,,,,,,,1978,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,23,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,98.0000,,,,,,,,1979,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,24,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,103.0000,,,,,,,,1980,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,25,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,111.0000,,,,,,,,1981,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,26,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,113.0000,,,,,,,,1982,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,27,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,120.0000,,,,,,,,1983,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,28,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,128.0000,,,,,,,,1984,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,29,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,138.0000,,,,,,,,1985,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,30,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,142.0000,,,,,,,,1986,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,31,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,151.0000,,,,,,,,1987,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,32,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,160.0000,,,,,,,,1988,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,33,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,170.0000,,,,,,,,1989,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,34,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,181.0000,,,,,,,,1990,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,35,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,189.0000,,,,,,,,1991,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,36,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,199.0000,,,,,,,,1992,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,37,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,205.0000,,,,,,,,1993,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,38,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,220.0000,,,,,,,,1994,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,39,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,232.0000,,,,,,,,1995,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,40,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,249.0000,,,,,,,,1996,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,41,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,261.0000,,,,,,,,1997,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,42,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,population size,284.0000,,,,,,,,1998,1931-1998,,,,,,Addo Elephant National Park,,103,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,43,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,11.0000,,,,,,,,1976,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,44,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,4.0000,,,,,,,,1977,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,45,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,2.0000,,,,,,,,1978,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,46,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,9.0000,,,,,,,,1979,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,47,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,5.0000,,,,,,,,1980,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,48,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,12.0000,,,,,,,,1981,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,49,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,4.0000,,,,,,,,1982,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,50,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,8.0000,,,,,,,,1983,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,51,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,9.0000,,,,,,,,1984,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,52,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,10.0000,,,,,,,,1985,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,53,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,11.0000,,,,,,,,1986,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,54,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,10.0000,,,,,,,,1987,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,55,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,11.0000,,,,,,,,1988,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,56,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,10.0000,,,,,,,,1989,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
24,57,"Whitehouse, AM; Hall-Martin, AJ","Elephants in Addo Elephant National Park, South Africa: reconstruction of the population's history",2000,number of births,11.0000,,,,,,,,1990,1931-1998,,,,,,Addo Elephant National Park,,,,,,South Africa,ZAF,L. africana,"Whitehouse, AM; Hall-Martin, AJ",ground survey,individual identification,,fully,,,,demography,no,,no immigration during park's history; no emigration except for 4 translocated calves to Pilanesberg NP in 1979,
